Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Ukraine,UKR,"Population ages 0-14, male",SP.POP.0014.MA.IN,3348152,3362203,3395743,3443447,3485419,3525797,3552778,3564829,3552016,3521255,3484712
Canada,CAN,"Population ages 0-14, male",SP.POP.0014.MA.IN,2889504,2892197,2904878,2922905,2943548,2960459,2989842,3016815,3044660,3070498,3082428
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 03/28/2024,,,,,,,,,,,,,,
